序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置
1,新竹縣,,,121.073,24.386,五峰活動中心,大隘村、花園村、桃山村、竹林村,110,"水災,震災,土石流",張兒,03-5851001,是,否,是
2,金門縣烈嶼鄉,林湖村,東林24號,118.248571,24.428328,金門縣烈嶼鄉林湖村辦公處,林湖村,30,"水災,震災,土石流,海嘯",林妙玲,082-364503,是,否,是
3,新竹縣北埔鄉,南坑村,9鄰大南坑1-5號,121.0561,24.6725,南坑村集會所暨南外社區活動中心,南坑村、外坪村,20,"水災,震災,土石流",葉貴霖,03-5805355,否,否,否
4,金門縣烏坵鄉,小坵村,無門牌號碼,119.47,24.98,烏坵鄉小坵村活動中心,小坵村,20,,莊金輝,82666056,否,否,否
5,金門縣烏坵鄉,大坵村,1號,119.453178,24.988739,金門縣烏坵鄉公所大廳,烏坵鄉大坵村,30,,林文彩,0826-66056,否,否,否
6,桃園市復興區,霞雲里,6鄰22-1號,121.406238,24.814018,霞雲社區活動中心,霞雲里,36,"水災,震災,土石流,海嘯",呂品秀,03-3821500#124,是,否,否
7,桃園市復興區,澤仁里,14鄰中正路168之1號,121.351987,24.820601,澤仁里辦公處,澤仁里,40,"水災,震災,土石流,海嘯",呂品秀,03-3821500#124,是,否,否
8,桃園市復興區,奎輝里,3鄰羅馬路3段355號,121.334302,24.797047,奎輝里活動中心,奎輝里,50,"水災,震災,土石流,海嘯",呂品秀,03-3821500#124,是,否,否
9,桃園市復興區,高義里,6鄰48號,121.354462,24.706112,高義教會,高義里,61,"水災,震災,土石流,海嘯",呂品秀,03-3821500#124,是,否,否
10,連江縣莒光鄉,大坪村,57-1號,119.977206,25.956666,東莒老人活動中心,大坪村,0,,曹以樹,0836-8914621,否,否,否
11,連江縣莒光鄉,福正村,1號,119.985351,25.961848,福正風景管理處,福正村,0,,曹鳳金,0836-89338,否,否,否
12,連江縣莒光鄉,西坵村,莒光指揮部國軍文康中心,119.932125,25.97828,莒光指揮部國軍文康中心,西坵村,0,,朱永元指揮官,0836-89217,否,否,否
13,連江縣莒光鄉,田沃村,52號,119.944922,25.972438,田沃老人活動中心,田沃村,0,,曹以樹,0836-89146,否,否,否
14,連江縣莒光鄉,青帆村,1號,119.933712,25.969995,青帆老人活動中心,青帆村,150,,曹以樹,0836-89416,否,否,否
15,連江縣莒光鄉,青帆村,18號,119.933934,25.970819,敬恆國中小禮堂,青帆村,200,,陳玉嬌,0836-88254,否,否,否
16,連江縣莒光鄉,大坪村,4號,119.97711,25.957484,東莒國小綜合教室,大坪村,200,,林湘官,0836-89043203,否,否,否
17,桃園市新屋區,石牌里,東興路二段568號,121.051297,26,石牌社區活動中心,石牌里,50,"水災,震災",江紘,4778168,是,否,是
18,桃園市觀音區,上大里,8鄰大湖路一段510號,121.147333,24.978234,上大社區活動中心,上大村、富源村、崙坪村,0,,魏秀有,919103049,否,否,否
19,桃園市觀音區,武威里,4鄰武威一路10號,121.073317,25.028242,武威社區活動中心,武威村、三和村、保生村,0,,廖介文,972196113,否,否,否
20,桃園市觀音區,塔腳里,4鄰塔腳路116號,121.154708,25.049298,塔腳社區活動中心,塔腳村、廣福村、保障村,0,,莊林乾,932948680,否,否,否
21,桃園市觀音區,廣福里,福山路二段403巷6號,121.153383,25.019018,廣福社區活動中心,廣福村、新坡村、草漯村,0,,陳秀鳳,4983945,否,否,否
22,桃園市觀音區,草新里,新生路1462號,121.142939,25.045941,草漯國民小學,草漯村、樹林村、保障村,100,,羅淑貞,4830160#51,否,否,否
23,桃園市觀音區,上大里,8鄰大湖路一段540號,121.146755,24.979129,上大國民小學,上大村、富源村、崙坪村,100,,張秀琪,4901174#510,否,否,否
24,桃園市觀音區,崙坪里,崙坪里297之1號,121.162676,24.999596,崙坪國民小學,崙坪村、大同村、上大村,100,,吳曉芬,4981286#51,否,否,否
25,桃園市觀音區,富林里,大觀路三段466號,121.1285,25.062195,富林國民小學,富林村、廣興村、草漯村,100,,王文昌,4839049#51,否,否,否
26,桃園市觀音區,樹林里,觀音鄉樹林村新村路二段十二號,121.128468,25.062176,樹林國民小學,樹林村、草漯村、富林村,100,,張麗君,4830414#51,否,否,否
27,桃園市觀音區,觀音里,觀新路56號,121.083597,25.028281,觀音區公所綠資源中心,觀音村、三和村、武威村,0,,許誌峰,925629102,否,否,否
28,臺東縣臺東市,,營區位置恕不敘明,119.752122,27,空軍第737戰術戰鬥機聯隊,臺東縣異地收容,329,,王詳閩少校,089-223911-872103,否,否,否
29,高雄市前鎮區,竹中里,廣西路57號,120.32,22.615,高雄市前鎮區光華國民小學,全區綜合調度,300,"水災,震災,土石流,海嘯",總務組,7222846,否,否,是
30,臺東縣大武鄉,大武村,民族街2巷49號,120.905497,22.365009,大武國小,收容大鳥村1-6鄰，15-16鄰,350,"水災,震災,土石流,海嘯",陳佩瑜,089-791826,是,否,是
31,苗栗縣頭份市,尖下里,尖豐路305號,120.894048,24.64686,尖山國小操場,尖山里、尖下里、廣興里,200,"水災,震災,土石流,海嘯",李鴻明,037-624474#29,否,是,是
32,高雄市小港區,鳳源里,鳳林路207號,120.343,22.527,高雄市小港區鳳林國民小學,鳳林、鳳源,300,"水災,震災,土石流,海嘯",陳宜亨,8712367＊710,否,否,否
33,桃園市新屋區,後庄里,東福路二段515號,121.011554,26.870923,後庄社區活動中心,後庄里,50,"水災,震災",江紘,4778168,是,否,是
34,桃園市新屋區,望間里,4鄰十五間25號,121.065984,26.87753,望間社區活動中心,望間里,50,"水災,震災",江紘,4778168,是,否,是
35,桃園市新屋區,社子里,7鄰3之1號,121.085281,26.886062,社子社區活動中心,社子里,50,水災,江紘,4778168,是,否,是
36,桃園市新屋區,頭洲里,校前路48號,121.130215,26.888575,頭洲社區活動中心,頭洲里,50,"水災,震災",江紘,4778168,是,否,是
37,桃園市新屋區,深圳里,4鄰20之5號,121.007673,26.890879,深圳社區活動中心,深圳里,50,"水災,震災",江紘,4778168,是,否,是
38,桃園市新屋區,東明里,3鄰5號,121.078766,26.894742,東明社區活動中心,東明里,50,"水災,震災",江紘,4778168,是,否,是
